name,surface,aces,winner,total_pts
Rafael Nadal,Clay,3.0,True,88.0
Kei Nishikori,Clay,2.0,False,55.0
Rafael Nadal,Clay,3.0,True,102.0
Roger Federer,Clay,3.0,False,79.0
Rafael Nadal,Clay,3.0,True,116.0
Rafael Nadal,Clay,2.0,True,119.0
Rafael Nadal,Clay,4.0,True,94.0
Rafael Nadal,Clay,3.0,True,93.0
Richard Gasquet,Clay,8.0,False,57.0
Rafael Nadal,Clay,4.0,True,104.0
Rafael Nadal,Clay,1.0,True,137.0
Rafael Nadal,Clay,0.0,True,87.0
Juan Martin Del Potro,Clay,2.0,False,61.0
Rafael Nadal,Clay,0.0,True,105.0
Rafael Nadal,Clay,1.0,True,91.0
Rafael Nadal,Clay,4.0,True,86.0
Rafael Nadal,Clay,4.0,True,88.0
Rafael Nadal,Clay,0.0,True,34.0
Rafael Nadal,Clay,2.0,True,94.0
Rafael Nadal,Clay,4.0,True,94.0
Stan Wawrinka,Clay,1.0,False,57.0
Rafael Nadal,Clay,1.0,True,87.0
Rafael Nadal,Clay,0.0,True,90.0
Rafael Nadal,Clay,0.0,True,96.0
Rafael Nadal,Clay,5.0,True,103.0
Nicolas Almagro,Clay,2.0,False,82.0
Rafael Nadal,Clay,1.0,True,93.0
Rafael Nadal,Clay,1.0,True,124.0
Rafael Nadal,Clay,1.0,True,91.0
Rafael Nadal,Clay,0.0,True,91.0
Rafael Nadal,Clay,0.0,True,104.0
Rafael Nadal,Clay,0.0,True,83.0
Rafael Nadal,Clay,1.0,True,113.0
David Ferrer,Clay,2.0,False,84.0
Rafael Nadal,Clay,2.0,True,83.0
Andy Murray,Clay,2.0,False,43.0
Rafael Nadal,Clay,3.0,True,130.0
Novak Djokovic,Clay,11.0,False,116.0
Rafael Nadal,Clay,2.0,True,140.0
